Step1,Step2CK,AOA,CumulativeQuartile,#Ho0redClerkships,Ho0rs-AThisSpecialty,GHHS,OtherDegrees,ResearchYear,#ResearchExperiences,"#Abstracts,Pres,Posters",#Peer-RevPublications,#VolunteerExperiences,#LeadershipPositions,RequiredtoRemediate,PassAttempt-Step1,PassAttempt-Step2CK,PassAttempt-Step2CS,#ProgramsApplied,#InterviewsAttended,HomeState,Release-Step2CK,Release-Step2CS,MajorityofInterviewOffers,MajorityofInterviewsAttended,Matched
195,220,0,4,2,1,1,MBA,0,0,3,0,5,11,0,1,1,1,1,1,NC,LateSeptember,LateJanuary,PromptlyafterOct1(MSPErelease),October,1
195,225,0,3,0,0,0,,0,0,1,0,11,3,0,1,1,1,34,3,,MidSeptember,MidOctober,LateSeptember(beforeMSPErelease),0vember,0
195,225,0,,0,1,0,,0,3,4,2,11,0,0,1,1,2,33,7,,MidSeptember,,EarlyOctober,December,0
195,225,0,2,4,1,0,,1,4,8,7,4,2,0,1,1,1,36,12,IL,MidOctober,LateOctober,EarlyOctober,0vember,1
195,225,0,4,4,1,1,,0,4,8,2,9,2,0,2,1,,83,8,,MidSeptember,LateJanuary,MidOctober,0vember,1
195,230,0,,2,1,0,,0,2,3,0,7,3,0,1,1,1,37,16,PA,MidSeptember,Early0vember,MidOctober,0vember,1
195,230,0,,3,1,1,,1,4,2,1,3,2,0,1,1,1,28,13,NY,MidSeptember,MidSeptember,PromptlyafterOct1(MSPErelease),0vember,1
195,230,,,8,1,,,1,4,5,3,6,6,0,1,1,1,32,13,CT,MidSeptember,MidSeptember,LateOctober,0vember,1
195,235,0,4,0,0,0,MSc,0,2,0,1,11,0,0,1,1,1,28,5,TX,Early0vember,Early0vember,LateOctober,December,1
195,235,0,,1,1,0,,0,5,5,0,10,4,0,1,1,1,41,12,TN,MidSeptember,MidSeptember,MidOctober,January,1
195,250,0,,0,0,0,MPH,1,4,4,1,6,5,0,1,1,1,83,13,MO,MidSeptember,MidSeptember,LateSeptember(beforeMSPErelease),0vember,1
195,250,0,,1,1,0,MSc,0,2,2,0,4,2,1,1,,1,39,6,,Early0vember,LateSeptember,PromptlyafterOct1(MSPErelease),0vember,1
200,205,0,1,1,1,0,MSc,0,3,5,5,5,5,0,1,1,1,26,4,NV,MidSeptember,LateJanuary,Mid0vember,December,1
200,210,0,3,0,0,0,MPH,0,5,0,3,5,2,0,1,1,1,193,5,LA,MidOctober,EarlyDecember,MidOctober,0vember,1
200,215,0,4,0,0,0,,0,0,0,0,5,5,0,1,1,2,20,5,LA,LateJanuary,LateJanuary,PromptlyafterOct1(MSPErelease),December,0
200,215,0,3,1,1,0,Other,0,2,2,1,5,3,1,1,1,1,4,4,NY,MidOctober,EarlyOctober,LateOctober,December,0
200,215,0,4,1,1,0,,0,1,0,0,5,1,0,1,1,,32,8,,LateSeptember,LateDecember,MidOctober,January,0
200,215,0,,1,1,0,,0,2,5,2,4,1,0,1,1,1,44,11,IL,MidSeptember,EarlyOctober,LateSeptember(beforeMSPErelease),January,1
200,215,0,3,2,1,0,,,7,11,4,4,8,1,1,1,1,7,9,DC,MidSeptember,LateDecember,MidOctober,0vember,1
200,215,0,4,2,1,0,,0,2,2,0,5,2,1,3,1,1,41,8,NC,MidSeptember,MidOctober,EarlyOctober,December,1
200,220,0,4,0,,0,,,2,0,,,,0,1,,,43,8,TX,EarlyOctober,EarlyOctober,MidOctober,,0
200,220,0,4,2,,0,,,2,3,,,,0,1,,,59,5,TX,LateJanuary,MidSeptember,PromptlyafterOct1(MSPErelease),,0
200,220,0,,0,,0,,1,8,5,7,4,2,1,1,1,1,20,3,NY,MidSeptember,MidSeptember,Early0vember,January,0
200,220,0,3,0,,1,,0,11,11,0,11,11,0,1,1,1,47,11,PA,MidSeptember,MidSeptember,MidOctober,December,1
200,220,0,4,0,0,0,,0,3,3,2,10,0,1,1,1,2,62,4,LA,MidSeptember,AfterRankListSubmission,LateOctober,0vember,0
200,220,0,,0,0,1,,0,1,1,0,8,2,1,1,1,2,25,11,DC,MidSeptember,AfterRankListSubmission,EarlyOctober,December,0
200,220,0,,0,0,1,,0,5,6,2,10,0,0,1,1,1,34,8,,MidSeptember,EarlyJanuary,EarlyOctober,October,1
200,220,,,0,0,0,,0,3,0,0,11,8,0,2,3,1,66,13,MI,AfterRankListSubmission,MidSeptember,LateOctober,0vember,1
200,220,0,4,2,1,0,MPH,0,6,2,4,5,3,1,1,1,1,30,10,TX,MidSeptember,MidSeptember,PromptlyafterOct1(MSPErelease),October,0
200,220,0,4,2,1,0,Other,0,2,2,0,5,5,1,3,1,1,4,4,SC,EarlyOctober,MidSeptember,EarlyOctober,January,1
200,225,0,,0,0,0,,0,3,0,0,4,4,0,1,1,1,65,11,VA,MidSeptember,MidSeptember,Mid0vember,December,1
200,225,0,,0,0,0,,1,1,0,0,4,2,1,1,2,1,39,11,NY,MidSeptember,AfterRankListSubmission,LateOctober,0vember,1
200,225,0,2,2,0,0,,0,3,3,1,11,2,0,1,1,2,11,12,WA,MidSeptember,MidDecember,MidOctober,December,1
200,225,0,,1,1,0,,0,1,3,2,11,6,0,1,1,1,39,13,NE,MidSeptember,MidOctober,EarlyOctober,December,1
200,230,0,3,2,,0,,,3,2,,,,0,1,,,1,1,TX,EarlyOctober,EarlyOctober,EarlyOctober,,0
200,230,0,,2,1,1,,0,5,8,0,,,0,1,1,,16,7,MN,MidSeptember,,LateSeptember(beforeMSPErelease),0vember,1
200,230,0,2,3,1,0,,0,7,11,9,11,11,0,1,1,2,5,3,TN,MidSeptember,,MidOctober,0vember,0
200,235,0,4,0,,0,MBA,0,4,2,2,6,0,0,1,1,1,48,13,KY,MidSeptember,MidSeptember,LateSeptember(beforeMSPErelease),October,1
200,235,0,,0,0,0,,0,2,3,0,1,2,1,1,1,1,46,6,TX,LateOctober,LateDecember,Mid0vember,January,0
200,235,0,3,1,0,0,,0,3,2,1,4,2,0,1,1,1,9,11,PA,EarlyOctober,MidOctober,Mid0vember,December,0
200,235,0,3,1,0,0,,0,3,3,1,5,2,0,1,1,1,30,11,PA,MidOctober,LateOctober,Mid0vember,December,1
200,235,0,3,1,0,0,,0,7,11,2,5,4,0,1,1,1,21,12,TX,MidSeptember,MidDecember,LateSeptember(beforeMSPErelease),0vember,1
200,235,0,,1,0,1,MDiv,0,2,0,0,11,5,0,1,2,1,26,8,MI,LateDecember,MidSeptember,Late0vember,December,1
200,235,0,,0,1,0,,0,3,10,1,11,10,0,1,1,1,48,14,WI,MidSeptember,MidSeptember,LateSeptember(beforeMSPErelease),December,1
200,235,0,2,3,1,1,,0,2,0,0,11,2,0,1,1,2,52,0,MO,MidSeptember,LateJanuary,EarlyOctober,0vember,1
200,240,0,,2,0,0,,0,7,7,5,6,3,1,2,,1,2,4,,LateSeptember,MidDecember,PromptlyafterOct1(MSPErelease),0vember,1
200,240,0,,2,1,0,,0,2,3,0,11,,1,1,1,1,36,6,WI,MidSeptember,LateDecember,PromptlyafterOct1(MSPErelease),0vember,1
200,,0,4,3,0,0,,0,0,0,0,3,2,1,1,,2,29,5,TX,,,LateOctober,0vember,0
205,205,0,4,0,0,0,,0,1,2,2,3,1,0,1,1,1,58,7,LA,EarlyOctober,MidDecember,Late0vember,December,1
205,210,0,3,2,,0,,0,3,3,2,,,1,1,1,2,64,12,NY,MidSeptember,LateJanuary,Early0vember,December,1
205,210,0,4,0,0,0,,0,3,2,2,9,7,0,1,1,2,56,13,WA,MidSeptember,Early0vember,LateOctober,0vember,0
205,210,0,2,1,1,1,MSc,0,2,4,2,11,3,0,1,1,1,45,14,TX,MidSeptember,MidSeptember,EarlyOctober,0vember,1
205,210,0,3,3,1,0,,1,9,2,0,11,3,0,1,1,1,60,6,LA,Early0vember,LateJanuary,MidOctober,December,0
205,210,0,4,3,1,0,,0,6,0,4,11,3,0,1,1,,40,13,,Mid0vember,Mid0vember,EarlyOctober,0vember,1
205,215,0,,0,0,0,MPH,0,3,8,4,9,5,1,2,1,3,64,4,TX,MidJanuary,,LateOctober,0vember,0
205,215,0,,3,0,0,,0,1,1,0,7,3,0,1,1,2,71,4,WA,MidSeptember,MidDecember,EarlyOctober,0vember,0
205,215,0,3,3,1,0,,0,3,3,2,2,1,1,2,1,1,57,5,TN,LateOctober,LateJanuary,LateSeptember(beforeMSPErelease),0vember,1
205,220,0,3,0,0,0,,0,3,1,0,5,3,0,2,1,1,242,1,TX,Late0vember,MidJanuary,LateSeptember(beforeMSPErelease),October,0
205,220,0,4,0,0,0,,,4,2,0,9,2,1,2,1,1,56,9,,MidSeptember,Early0vember,EarlyOctober,October,1
205,220,0,4,1,0,0,,0,0,0,0,8,5,0,1,1,1,70,11,,MidSeptember,LateJanuary,PromptlyafterOct1(MSPErelease),October,1
205,220,0,4,2,0,0,Other,0,2,0,1,5,4,0,1,1,2,21,3,TN,MidOctober,LateJanuary,LateOctober,0vember,1
205,220,0,,2,0,0,,0,3,11,11,5,5,0,1,1,1,29,0,PA,MidSeptember,MidJanuary,EarlyOctober,0vember,1
205,225,0,4,0,0,0,,0,7,2,11,8,4,1,1,1,1,10,12,TX,MidSeptember,MidSeptember,LateSeptember(beforeMSPErelease),October,1
205,225,0,4,0,0,1,,0,2,3,2,3,8,1,1,1,1,77,13,NY,MidSeptember,LateDecember,EarlyOctober,0vember,1
205,225,0,4,0,0,1,MSc,0,6,6,1,6,6,0,1,1,1,36,16,VA,MidSeptember,MidSeptember,MidOctober,0vember,1
205,225,0,3,1,0,0,,0,1,1,0,5,1,1,1,1,1,102,4,,MidSeptember,MidSeptember,Early0vember,December,1
205,225,0,4,2,0,0,,0,0,0,0,6,7,0,1,1,1,34,4,TX,LateOctober,LateDecember,PromptlyafterOct1(MSPErelease),0vember,1
205,225,0,,0,1,0,,0,2,0,0,4,2,0,1,1,1,46,7,,MidSeptember,MidSeptember,EarlyOctober,0vember,1
205,225,0,3,2,1,0,,0,0,0,0,3,3,0,1,1,1,35,5,NC,MidOctober,LateJanuary,LateOctober,0vember,1
205,225,0,3,2,1,1,PhD,0,1,11,3,4,3,0,1,1,1,16,33,,MidSeptember,EarlyJanuary,EarlyOctober,October,1
205,225,0,4,3,1,0,MPH,1,2,2,0,7,2,0,1,1,1,42,13,,MidSeptember,MidSeptember,MidOctober,December,1
205,230,0,,1,,0,,,2,3,,,,0,1,,,24,8,TX,MidSeptember,LateJanuary,LateSeptember(beforeMSPErelease),,1
205,230,0,3,0,0,0,,0,2,4,2,4,1,0,1,1,1,31,13,FL,LateOctober,MidSeptember,EarlyOctober,January,1
205,230,0,4,0,0,0,MPH,0,4,11,5,11,11,1,1,1,1,19,6,MI,MidOctober,MidSeptember,LateOctober,0vember,1
205,230,0,,1,0,0,,0,1,2,0,4,0,0,1,1,1,29,11,MI,MidSeptember,MidSeptember,LateSeptember(beforeMSPErelease),0vember,1
205,230,0,3,2,0,0,,0,1,1,0,10,3,0,1,1,1,4,4,NV,MidSeptember,EarlyOctober,PromptlyafterOct1(MSPErelease),December,1
205,230,0,4,4,0,1,,0,6,3,2,5,8,1,1,1,1,32,14,PA,EarlyOctober,EarlyDecember,MidOctober,0vember,1
205,230,0,3,1,1,0,,0,2,2,0,3,2,0,1,1,1,40,9,KY,MidSeptember,MidOctober,LateSeptember(beforeMSPErelease),October,1
205,230,0,3,1,1,0,Other,0,6,7,0,,11,0,1,1,1,58,17,,MidSeptember,Late0vember,EarlyOctober,0vember,1
205,230,0,,1,1,0,,0,2,2,1,4,2,0,1,1,1,35,13,,MidSeptember,MidJanuary,MidOctober,0vember,1
205,230,0,,1,1,1,,0,4,1,1,2,10,0,1,1,1,25,13,,MidSeptember,LateJanuary,LateOctober,January,1
205,230,,,1,1,0,,0,2,2,0,8,5,0,1,1,1,48,16,MI,MidSeptember,MidSeptember,MidOctober,0vember,1
205,230,0,,2,1,0,MPH,0,2,2,,3,3,0,1,1,2,35,8,NC,MidSeptember,MidSeptember,LateOctober,0vember,0
205,230,0,,2,1,1,,0,4,2,1,9,3,0,1,1,1,36,20,,MidSeptember,EarlyJanuary,PromptlyafterOct1(MSPErelease),0vember,1
205,230,0,,3,1,0,,0,3,11,9,8,3,0,,1,1,19,13,DC,MidSeptember,LateJanuary,Early0vember,December,1
205,235,0,,1,,0,,,1,6,,,,0,1,,,16,6,TX,MidSeptember,MidSeptember,LateSeptember(beforeMSPErelease),,1
205,235,0,4,1,0,1,,,3,0,0,8,4,1,2,1,1,89,7,,MidSeptember,LateJanuary,Early0vember,December,0
205,235,0,,2,0,0,,0,1,0,0,5,2,1,1,1,1,48,7,OH,LateSeptember,MidDecember,MidOctober,December,1
205,235,0,3,1,1,0,,0,4,4,3,5,0,0,1,1,1,81,14,TX,MidSeptember,EarlyJanuary,LateSeptember(beforeMSPErelease),0vember,1
205,235,0,,2,1,1,,0,5,2,1,6,2,0,1,1,1,24,10,MN,MidSeptember,LateJanuary,EarlyOctober,0vember,1
205,235,0,,3,1,1,,0,1,5,0,11,4,0,1,1,1,24,12,WA,EarlyOctober,MidOctober,LateOctober,0vember,1
205,235,0,3,4,1,0,,0,3,3,1,8,2,1,1,1,1,45,10,FL,MidSeptember,MidSeptember,EarlyOctober,December,1
205,240,0,,2,0,0,,0,1,1,2,7,4,0,1,1,1,58,12,TX,EarlyOctober,LateDecember,MidOctober,December,1
205,240,0,,1,1,0,,0,2,1,0,11,0,1,2,1,1,49,8,,MidSeptember,MidJanuary,PromptlyafterOct1(MSPErelease),January,1
205,240,0,,2,1,0,,0,4,4,0,5,0,1,2,1,1,54,4,,MidSeptember,MidSeptember,LateSeptember(beforeMSPErelease),0vember,0
205,245,0,4,1,0,0,MSc,0,3,11,0,,11,0,1,1,1,16,11,,MidSeptember,MidSeptember,MidOctober,0vember,1
205,250,0,2,3,,1,,,4,11,,,,0,,,,34,6,TX,LateSeptember,Late0vember,PromptlyafterOct1(MSPErelease),,1
205,250,0,3,0,0,0,MPH,0,4,4,3,5,5,0,1,1,1,50,22,NY,MidSeptember,MidDecember,LateSeptember(beforeMSPErelease),December,1
205,250,0,3,2,0,0,MEd,0,1,2,0,2,6,0,1,1,1,31,15,MA,MidSeptember,MidSeptember,PromptlyafterOct1(MSPErelease),0vember,1
210,210,0,2,0,0,0,,0,3,3,0,7,2,0,1,,1,14,12,WA,MidSeptember,MidSeptember,Mid0vember,December,1
210,210,0,4,0,0,0,,0,0,0,0,3,1,1,1,1,1,36,6,TX,MidSeptember,MidDecember,PromptlyafterOct1(MSPErelease),December,1
210,210,0,4,0,0,0,,0,2,3,0,8,6,0,2,1,1,25,7,,LateSeptember,Late0vember,LateOctober,December,1
210,210,0,,0,0,0,,0,5,2,0,11,3,0,1,1,1,247,8,TX,Late0vember,EarlyDecember,MidOctober,December,0
210,210,0,4,0,0,1,Other,0,0,0,0,4,0,0,1,1,1,45,7,LA,Late0vember,MidOctober,EarlyOctober,December,1
210,210,0,3,1,1,0,Other,0,7,2,2,7,1,0,1,1,1,29,11,NY,MidOctober,MidDecember,EarlyOctober,0vember,1
210,215,0,3,0,0,0,,1,4,3,2,8,8,1,1,1,1,15,3,,MidOctober,MidJanuary,EarlyOctober,,0
210,215,0,,0,0,0,,0,0,0,0,2,6,0,2,1,2,1,4,AZ,MidSeptember,AfterRankListSubmission,EarlyOctober,0vember,1
210,215,0,3,2,0,0,,0,6,3,1,7,5,0,1,1,1,79,13,MI,MidSeptember,MidSeptember,MidOctober,0vember,1
210,215,0,3,1,1,0,,0,3,2,0,6,4,0,1,1,1,11,12,NJ,MidSeptember,MidSeptember,MidOctober,0vember,1
210,215,0,2,4,1,0,,0,8,3,2,6,6,0,1,1,1,10,10,OH,MidSeptember,LateJanuary,PromptlyafterOct1(MSPErelease),0vember,1
210,220,0,4,0,,0,,,1,0,,,,0,1,,,60,12,TX,MidSeptember,MidOctober,LateSeptember(beforeMSPErelease),,1
210,220,0,,0,,1,,,1,4,,,,0,1,,,8,7,TX,EarlyOctober,LateJanuary,EarlyOctober,,1
210,220,0,3,2,,0,,,1,2,,,,0,1,,,12,0,TX,LateSeptember,LateJanuary,,,1
210,220,0,3,0,0,0,,0,1,2,2,6,6,0,1,1,1,28,9,,Early0vember,LateJanuary,EarlyOctober,0vember,0
210,220,0,4,0,0,0,,0,2,2,0,4,0,1,2,1,2,41,1,WV,LateJanuary,LateJanuary,EarlyOctober,October,1
210,220,0,,0,0,0,,0,0,0,0,7,5,0,1,2,1,68,9,NY,MidSeptember,MidOctober,Late0vember,January,1
210,220,0,,0,0,0,Other,0,2,0,0,2,0,1,1,2,1,41,8,,LateSeptember,MidSeptember,Late0vember,December,1
210,220,,,8,1,,,1,4,4,1,8,6,0,1,1,1,12,9,CT,MidSeptember,MidDecember,EarlyOctober,0vember,1
210,225,0,,2,,0,,,1,2,,,,0,1,,,41,5,TX,EarlyOctober,EarlyOctober,MidOctober,,0
210,225,0,2,0,0,0,,0,0,0,0,7,3,0,1,1,1,46,12,TX,MidSeptember,MidSeptember,MidOctober,December,1
210,225,0,3,0,0,0,,0,2,1,0,4,3,0,1,1,1,107,9,IL,LateJanuary,MidSeptember,MidOctober,0vember,1
210,225,0,4,0,0,0,,0,1,2,0,7,7,0,1,1,1,19,7,LA,EarlyOctober,LateDecember,LateOctober,0vember,1
210,225,0,,0,0,1,,0,2,4,0,11,0,0,1,1,1,128,18,TX,Mid0vember,LateJanuary,LateOctober,0vember,1
210,225,0,4,1,0,0,,0,1,0,0,5,3,0,1,1,1,25,7,MN,MidSeptember,LateJanuary,PromptlyafterOct1(MSPErelease),0vember,1
210,225,0,4,3,0,0,,0,4,3,1,11,3,0,1,1,1,32,11,PA,MidSeptember,MidSeptember,MidOctober,December,1
210,225,0,4,4,0,0,,0,0,0,0,2,0,1,1,1,1,27,2,OH,LateOctober,LateJanuary,Early0vember,December,1
210,225,0,2,2,1,0,,0,3,3,0,8,3,0,1,1,1,12,8,,EarlyOctober,LateJanuary,LateOctober,0vember,1
210,225,0,4,2,1,0,,0,2,1,0,4,2,0,1,1,1,17,11,MA,MidSeptember,MidSeptember,LateOctober,December,1
210,225,0,4,2,1,0,Other,0,1,3,3,3,2,0,1,1,1,19,10,NY,MidSeptember,MidDecember,MidOctober,October,1
210,230,0,4,0,0,0,,0,3,9,2,9,3,0,1,1,1,95,11,TX,MidJanuary,LateDecember,LateSeptember(beforeMSPErelease),0vember,0
210,230,0,4,1,1,0,,0,0,0,0,7,2,0,1,1,1,55,13,MO,MidSeptember,EarlyOctober,EarlyOctober,December,1
210,230,0,,1,1,1,,0,4,2,0,11,9,0,1,1,1,37,9,,MidSeptember,LateJanuary,EarlyOctober,0vember,1
210,230,0,,2,1,0,,0,6,3,1,11,3,0,1,1,1,73,18,KY,MidSeptember,MidSeptember,MidOctober,0vember,1
210,230,,2,2,1,0,,0,4,0,1,2,0,0,1,1,,60,7,CT,,MidSeptember,LateOctober,December,1
210,230,0,3,3,1,1,,0,1,1,0,8,2,0,1,1,1,24,9,,MidSeptember,Late0vember,EarlyOctober,December,1
210,235,0,4,3,0,0,,1,1,0,3,4,0,0,1,1,1,28,7,,LateOctober,EarlyJanuary,LateOctober,January,1
210,235,0,4,0,1,0,MSc,0,7,0,0,4,4,1,1,1,2,94,11,VA,MidSeptember,EarlyDecember,Late0vember,January,1
210,235,0,3,1,1,0,,,4,2,1,4,4,0,1,1,1,32,15,,LateSeptember,LateJanuary,LateSeptember(beforeMSPErelease),0vember,1
210,235,0,3,3,1,1,,0,11,11,2,7,6,0,1,1,1,31,15,FL,MidSeptember,MidSeptember,EarlyOctober,January,1
210,235,1,1,4,1,0,,0,1,1,1,9,3,0,1,1,1,33,11,,MidSeptember,EarlyOctober,PromptlyafterOct1(MSPErelease),0vember,1
210,240,0,3,2,,0,,0,1,0,0,6,3,0,1,1,1,19,5,,LateSeptember,EarlyOctober,PromptlyafterOct1(MSPErelease),October,1
210,240,0,,0,0,0,Other,0,3,1,1,11,5,0,1,1,1,43,13,AZ,MidSeptember,MidSeptember,LateSeptember(beforeMSPErelease),0vember,1
210,240,0,4,1,1,0,,0,4,0,1,7,3,0,1,1,1,24,9,TX,MidSeptember,MidOctober,MidOctober,,0
210,240,0,4,6,1,1,,0,2,9,0,3,2,0,1,1,1,129,14,KY,MidSeptember,EarlyOctober,EarlyOctober,December,1
210,245,0,,1,1,0,,0,1,0,0,5,3,0,1,1,1,19,8,MI,MidSeptember,MidOctober,PromptlyafterOct1(MSPErelease),0vember,1
210,245,0,,3,1,0,,1,3,3,1,6,3,0,1,1,1,26,7,KY,MidSeptember,LateSeptember,EarlyOctober,0vember,1
210,250,0,4,3,1,0,MPH,0,11,11,1,11,11,0,1,1,1,58,18,LA,MidSeptember,LateDecember,LateOctober,0vember,1
210,255,0,,2,0,0,,0,3,2,0,3,3,0,2,1,1,47,9,OH,MidSeptember,MidSeptember,MidOctober,0vember,1
215,210,0,,2,1,0,,0,0,0,0,2,2,0,1,1,1,33,8,TX,MidSeptember,EarlyDecember,EarlyOctober,0vember,1
215,215,0,4,0,0,0,MSc,0,1,0,1,3,1,1,1,1,1,10,8,TX,LateDecember,LateJanuary,PromptlyafterOct1(MSPErelease),0vember,1
215,215,0,2,2,0,1,,0,1,2,1,11,8,0,1,1,2,12,7,LA,MidSeptember,MidSeptember,MidOctober,,1
215,215,0,,1,1,0,MEd,0,2,0,0,11,3,0,1,1,1,24,12,TX,EarlyOctober,MidOctober,MidOctober,0vember,1
215,215,0,,1,1,1,,1,3,2,0,6,5,0,1,1,1,11,14,NY,MidOctober,EarlyJanuary,LateOctober,0vember,1
215,220,0,3,0,0,0,,0,1,0,1,7,4,1,2,1,1,55,3,TX,EarlyDecember,LateJanuary,EarlyOctober,0vember,1
215,220,0,,0,0,0,,0,0,0,0,2,2,0,1,1,1,32,7,TX,Early0vember,LateDecember,LateOctober,0vember,1
215,220,0,,1,0,0,,0,3,3,1,4,2,0,1,1,1,97,9,,MidSeptember,LateJanuary,Mid0vember,January,0
215,220,0,3,2,0,0,MSc,0,4,1,3,2,0,0,1,1,1,12,14,,MidSeptember,EarlyDecember,LateSeptember(beforeMSPErelease),0vember,0
215,220,0,3,1,1,0,,0,0,2,0,2,2,0,1,1,1,7,3,VA,MidSeptember,MidSeptember,EarlyOctober,December,1
215,220,0,4,2,1,0,,0,1,1,1,10,11,1,1,1,1,33,8,NY,MidSeptember,MidSeptember,Late0vember,December,0
215,220,0,,4,1,0,,0,2,3,1,4,2,0,1,1,1,49,16,,MidSeptember,MidSeptember,LateSeptember(beforeMSPErelease),December,1
215,225,0,,2,,1,,,6,11,,,,0,1,,,17,13,TX,MidSeptember,MidSeptember,LateSeptember(beforeMSPErelease),,1
215,225,0,3,0,,0,,0,2,0,0,6,0,0,1,1,1,21,9,KY,MidSeptember,Early0vember,EarlyOctober,0vember,1
215,225,0,4,0,0,0,,0,2,2,0,9,4,0,1,1,1,13,10,MI,MidSeptember,MidSeptember,PromptlyafterOct1(MSPErelease),December,1
215,225,0,4,0,0,0,,0,2,2,0,9,4,0,1,1,1,13,10,MI,MidSeptember,MidSeptember,PromptlyafterOct1(MSPErelease),December,1
215,225,0,,0,0,0,,0,3,5,2,6,11,0,1,1,1,25,13,TX,MidSeptember,EarlyJanuary,PromptlyafterOct1(MSPErelease),0vember,1
215,225,0,3,1,0,0,MSc,0,3,5,2,2,1,0,1,1,1,31,12,TX,MidSeptember,MidSeptember,EarlyOctober,0vember,1
215,225,0,3,1,0,1,,0,4,2,1,8,8,0,1,1,1,12,9,,MidSeptember,EarlyOctober,MidOctober,December,1
215,225,0,,2,0,0,,0,3,2,2,7,2,0,1,1,1,68,10,DC,MidSeptember,LateJanuary,EarlyOctober,December,1
